Unnamed: 0,USD_KOR_Coeff,USD_USA_Coeff,USD_KOR_pvalue,USD_USA_pvalue,100Y_KOR_Coeff,100Y_JPY_Coeff,100Y_KOR_pvalue,100Y_JPY_pvalue,YUAN_KOR_Coeff,YUAN_CHN_Coeff,YUAN_KOR_pvalue,YUAN_CHN_pvalue
0,0.024,0.01,0.0024,0.2171,-0.0013,0.001,0.0531,0.0913,0.018,0.016,0.042,0.0199
1,0.026,0.014,0.0009,0.0715,-0.0015,0.001,0.0792,0.09,0.017,0.015,0.073,0.029
2,0.026,0.017,0.0009,0.0293,-0.0012,0.005,0.1273,0.0623,0.017,0.017,0.049,0.134
3,0.027,0.016,0.0005,0.0459,-0.0008,0.009,0.0496,0.0393,0.018,0.008,0.047,0.065
4,0.027,0.017,0.0004,0.0279,-0.0006,0.009,0.0562,0.0416,-0.009,0.019,0.056,0.044
5,0.026,0.017,0.0008,0.0332,-0.001,0.007,0.0339,0.0515,0.018,0.009,0.068,0.043
6,-0.023,0.015,0.0036,0.0495,-0.0008,0.008,0.0482,0.0459,0.016,0.019,0.034,0.058
7,0.018,-0.0043,0.0224,0.0985,-0.0005,0.009,0.0624,0.0419,0.015,0.02,0.039,0.031
8,0.015,0.01,0.0591,0.19,-0.0004,0.007,0.0687,0.0546,0.014,0.021,0.395,0.021
9,-0.006,0.005,0.0852,0.5343,-0.0003,0.003,0.0231,0.0808,0.014,0.01,0.355,0.032
10,0.014,0.002,0.0766,0.8255,-0.0001,0.004,0.0433,0.0694,0.016,0.022,0.021,0.011
11,0.013,0.0,0.0882,0.9708,-0.0002,0.001,0.0314,0.0948,0.016,0.022,0.046,0.01
12,0.012,-0.0003,0.1205,0.6793,0.002,0.001,0.0328,0.0958,0.016,0.021,0.015,0.019
13,0.011,-0.0006,0.1614,0.4457,0.01,0.002,0.3741,0.0847,0.015,0.018,0.298,0.062
14,0.015,-0.0005,0.0548,0.5278,0.015,0.007,0.0483,0.0528,0.016,0.019,0.041,0.044
15,0.019,-0.0003,0.0177,0.7013,0.013,0.007,0.0433,0.0535,0.018,0.02,0.047,0.032
16,0.02,0.001,0.0115,0.944,0.008,0.004,0.125,0.0729,0.02,0.02,0.023,0.036
17,0.021,0.0,0.0085,0.9846,0.004,0.003,0.0302,0.0754,0.022,0.015,0.009,0.015
18,0.022,-0.0005,0.0057,0.5565,0.001,0.004,0.0415,0.0697,0.013,0.003,0.007,0.013
19,0.024,-0.0004,0.0025,0.6089,0.002,0.008,0.0226,0.0445,0.014,0.005,0.005,0.015
20,0.02,0.001,0.0089,0.9048,0.003,0.012,0.0755,0.0294,0.02,0.001,0.026,0.02
