Date,KOR,CHN,JPY,USA,KOR_Seasonal_Adjusted_Trend,CHN_Seasonal_Adjusted_Trend,JPY_Seasonal_Adjusted_Trend,USA_Seasonal_Adjusted_Trend
2015-01-01,0.5125,1E-10,0.1216666666666670,0.104,,,,
2015-01-02,0.04,1E-10,0.0666666666666666,0.098,,,,
2015-01-03,0.02,1E-10,0.02,0.33,,,,
2015-01-04,1E-10,1E-10,1E-10,0.08,,,,
2015-01-05,1E-10,0.02,1E-10,0.022,,,,
2015-01-06,0.255,0.24,0.0233333333333333,0.01,,,,
2015-01-07,0.065,0.2,0.2283333333333330,1E-10,0.0805208333625,0.2162500000458330,0.07156944446111110,0.08616666667916670
2015-01-08,0.01,1E-10,0.1116666666666670,0.01,0.11666666670000000,0.2183333333708330,0.06555555557638890,0.07775000002083330
2015-01-09,0.01,1E-10,0.1380000000000000,0.014,0.18416666670000000,0.21916666670000000,0.07562500002500000,0.059916666695833300
2015-01-10,1E-10,0.04,0.11,0.12,0.19500000002916700,0.21916666670000000,0.11451388890972200,0.04283333337083330
2015-01-11,0.11,0.27,0.004,0.22,0.20180555557638900,0.21833333337083300,0.14180555556805600,0.03858333337916670
2015-01-12,0.2,1.81,0.074,0.078,0.19798611112777800,0.20750000004583300,0.14900000000833300,0.054750000050000000
2015-01-13,1E-10,0.03,0.044,1E-10,0.18895833335000000,0.18916666672083300,0.14609722223055600,0.07183333338333330
2015-01-14,1.42,0.02,1E-10,1E-10,0.1909722222388890,0.18083333339166700,0.1327638888972220,0.07166666671666670
2015-01-15,0.26,1E-10,0.3283333333333330,1E-10,0.1999305555722220,0.18083333339166700,0.12844444445277800,0.07375000005000000
2015-01-16,0.02,1E-10,0.625,1E-10,0.21965277779027800,0.17916666672916700,0.13243055556388900,0.07908333338333330
2015-01-17,0.1433333333333330,1E-10,0.03,1E-10,0.2270833333458330,0.16625000007083300,0.1511527777861110,0.07300000005416670
2015-01-18,0.02,1E-10,0.166,0.42,0.2141666666875,0.08055555563055550,0.1651250000083330,0.06658333339166670
2015-01-19,0.0833333333333333,1E-10,0.016,1E-10,0.20583333335833300,0.005694444519444440,0.16319444445277800,0.06983333338750000
2015-01-20,0.04,1E-10,0.004,0.006,0.1546296296546300,0.007777777852777770,0.16286111111527800,0.07533333337916670
2015-01-21,0.195,1E-10,0.142,0.0679999999999999,0.09703703706203700,0.029444444515277800,0.17102777777777800,0.08333333337083330
2015-01-22,0.2883333333333330,1E-10,0.2016666666666670,0.194,0.09252314817314810,0.0636111111736111,0.15359722222222200,0.08658333336250000
2015-01-23,1E-10,1E-10,0.3616666666666670,1E-10,0.10155092595092600,0.08277777783194440,0.1274166666708330,0.08700000002083330
2015-01-24,1E-10,0.0233333333333333,0.0516666666666666,0.144,0.11120370372870400,0.09069444449027780,0.12654166667500000,0.07041666668333330
2015-01-25,1E-10,0.02,0.02,0.012,0.11037037039537000,0.0944444444861111,0.14048611111944400,0.05883333334583330
2015-01-26,0.1911111111111110,0.08,0.016,0.12,0.10537037039953700,0.10152777781527800,0.1547222222305560,0.06950000000833330
