"STATION","NAME","DATE","PRCP"
"KS000047112","INCHEON, KS","2015-01-01",
"KS000047112","INCHEON, KS","2015-01-02","0.00"
"KS000047112","INCHEON, KS","2015-01-03",
"KS000047112","INCHEON, KS","2015-01-04",
"KS000047112","INCHEON, KS","2015-01-05",
"KS000047112","INCHEON, KS","2015-01-06","0.04"
"KS000047112","INCHEON, KS","2015-01-07",
"KS000047112","INCHEON, KS","2015-01-08",
"KS000047112","INCHEON, KS","2015-01-09",
"KS000047112","INCHEON, KS","2015-01-10",
"KS000047112","INCHEON, KS","2015-01-11",
"KS000047112","INCHEON, KS","2015-01-12",
"KS000047112","INCHEON, KS","2015-01-13",
"KS000047112","INCHEON, KS","2015-01-14",
"KS000047112","INCHEON, KS","2015-01-15",
"KS000047112","INCHEON, KS","2015-01-16","0.00"
"KS000047112","INCHEON, KS","2015-01-17",
"KS000047112","INCHEON, KS","2015-01-18",
"KS000047112","INCHEON, KS","2015-01-19","0.02"
"KS000047112","INCHEON, KS","2015-01-20",
"KS000047112","INCHEON, KS","2015-01-21",
"KS000047112","INCHEON, KS","2015-01-22",
"KS000047112","INCHEON, KS","2015-01-23",
"KS000047112","INCHEON, KS","2015-01-24",
"KS000047112","INCHEON, KS","2015-01-25",
"KS000047112","INCHEON, KS","2015-01-26","0.04"
"KS000047112","INCHEON, KS","2015-01-27",
"KS000047112","INCHEON, KS","2015-01-28",
"KS000047112","INCHEON, KS","2015-01-29",
"KS000047112","INCHEON, KS","2015-01-30",
"KS000047112","INCHEON, KS","2015-01-31",
"KS000047112","INCHEON, KS","2015-02-01",
"KS000047112","INCHEON, KS","2015-02-02",
"KS000047112","INCHEON, KS","2015-02-03",
"KS000047112","INCHEON, KS","2015-02-04",
"KS000047112","INCHEON, KS","2015-02-05",
"KS000047112","INCHEON, KS","2015-02-06",
"KS000047112","INCHEON, KS","2015-02-07",
"KS000047112","INCHEON, KS","2015-02-08",
"KS000047112","INCHEON, KS","2015-02-09",
"KS000047112","INCHEON, KS","2015-02-10",
"KS000047112","INCHEON, KS","2015-02-11",
"KS000047112","INCHEON, KS","2015-02-12",
"KS000047112","INCHEON, KS","2015-02-13",
"KS000047112","INCHEON, KS","2015-02-14",
"KS000047112","INCHEON, KS","2015-02-15",
"KS000047112","INCHEON, KS","2015-02-16","0.43"
"KS000047112","INCHEON, KS","2015-02-17","0.00"
"KS000047112","INCHEON, KS","2015-02-18",
"KS000047112","INCHEON, KS","2015-02-19",
"KS000047112","INCHEON, KS","2015-02-20",
"KS000047112","INCHEON, KS","2015-02-21","0.24"
"KS000047112","INCHEON, KS","2015-02-22","0.12"
"KS000047112","INCHEON, KS","2015-02-23",
"KS000047112","INCHEON, KS","2015-02-24",
"KS000047112","INCHEON, KS","2015-02-25",
"KS000047112","INCHEON, KS","2015-02-26","0.04"
"KS000047112","INCHEON, KS","2015-02-27",
