DATE,0,1,2,3,4,Average
2014-01-01,,,,,,
2014-01-02,,,,,,
2014-01-03,,,,,,
2014-01-04,,,,,,
2014-01-05,,,,,,
2014-01-06,,,0.01,,0.09,0.049999999999999996
2014-01-07,,,0.02,,0.66,0.34
2014-01-08,,,,,0.34,0.34
2014-01-09,,,,,0.0,0.0
2014-01-10,,,,,0.19,0.19
2014-01-11,,,,,0.04,0.04
2014-01-12,,,,,0.0,0.0
2014-01-13,,,,,,
2014-01-14,,,,,0.0,0.0
2014-01-15,,,,,0.0,0.0
2014-01-16,,,,,,
2014-01-17,,,,,,
2014-01-18,,,,,,
2014-01-19,,,,,,
2014-01-20,,,,,,
2014-01-21,,,,,,
2014-01-22,,,,,,
2014-01-23,,,,,,
2014-01-24,,,,,,
2014-01-25,,,,,,
2014-01-26,,,,,,
2014-01-27,,,,,,
2014-01-28,,,,,0.48,0.48
2014-01-29,,,,,0.01,0.01
2014-01-30,,,,,0.0,0.0
2014-01-31,,,,,0.0,0.0
2014-02-01,,0.0,,,,0.0
2014-02-02,,,,,,
2014-02-03,,,,,,
2014-02-04,,,0.0,,0.06,0.03
2014-02-05,,,,,0.33,0.33
2014-02-06,,,,,0.68,0.68
2014-02-07,,0.14,0.06,,0.09,0.09666666666666668
2014-02-08,,0.1,0.14,,0.02,0.08666666666666667
2014-02-09,,0.0,0.35,,0.06,0.13666666666666666
2014-02-10,,,0.33,,0.03,0.18
2014-02-11,,,0.0,,0.0,0.0
2014-02-12,,,0.22,,,0.22
2014-02-13,,,0.03,,,0.03
2014-02-14,,0.0,0.02,,,0.01
2014-02-15,,,0.0,,,0.0
2014-02-16,,,0.0,,0.01,0.005
2014-02-17,,,,,0.41,0.41
2014-02-18,,,0.28,,0.04,0.16
2014-02-19,,,0.11,,0.09,0.1
2014-02-20,,0.0,0.02,,0.0,0.006666666666666667
2014-02-21,,,0.05,,,0.05
2014-02-22,,,0.04,,,0.04
2014-02-23,,,,,0.09,0.09
2014-02-24,,,,,0.66,0.66
2014-02-25,,,0.02,,0.0,0.01
2014-02-26,,,,,0.0,0.0
2014-02-27,,,,,0.76,0.76
2014-02-28,,,0.02,,0.51,0.265
2014-03-01,,,0.0,,0.06,0.03
2014-03-02,,,0.0,,0.0,0.0
2014-03-03,,,,,0.0,0.0
2014-03-04,,,0.01,,,0.01
2014-03-05,,,0.01,,0.0,0.005
2014-03-06,,,0.11,,0.12,0.11499999999999999
2014-03-07,,,0.01,,0.04,0.025
2014-03-08,,,0.06,,,0.06
2014-03-09,,,0.41,,,0.41
2014-03-10,,,0.18,,,0.18
2014-03-11,,,0.13,,0.02,0.075
2014-03-12,,,1.02,,0.0,0.51
2014-03-13,,,0.96,,0.0,0.48
2014-03-14,,,0.0,,,0.0
2014-03-15,,,,,,
2014-03-16,,,,,,
2014-03-17,,,,,,
2014-03-18,,,0.0,,0.06,0.03
2014-03-19,,,,,0.99,0.99
2014-03-20,,,0.02,,0.0,0.01
2014-03-21,,,0.02,,,0.02
2014-03-22,,,,,,
2014-03-23,,,,,0.02,0.02
2014-03-24,,,,,0.38,0.38
2014-03-25,,,,,,
2014-03-26,,,,,,
2014-03-27,,,,,,
2014-03-28,,0.0,0.03,,1.92,0.65
2014-03-29,,0.0,0.7,,0.0,0.2333333333333333
2014-03-30,,,6.5,,0.01,3.255
2014-03-31,,0.04,1.73,,,0.885
2014-04-01,,,0.47,,,0.47
2014-04-02,,,2.31,,,2.31
2014-04-03,,,1.2,,,1.2
2014-04-04,,,0.74,,,0.74
