???????????,,,,,,,,
,,,,,,,,
??? : 2015-01-01 ~ 2025-01-24 ?? : ??(??) USD [???? : 2025-01-31 13:57:07],,,,,,,,
??,1?,??????,10?,1??,2??,3??,6??,12??
2025-01-24,0.00485,-0.00002,0.01533,0.02221,0.03141,0.03847,0.05440,0.07693
2025-01-23,0.00487,-0.00001,0.01541,0.02234,0.03159,0.03869,0.05471,0.07737
2025-01-22,0.00488,0.00001,0.01545,0.02238,0.03165,0.03877,0.05483,0.07753
2025-01-21,0.00487,0.00002,0.01539,0.02230,0.03154,0.03862,0.05462,0.07725
2025-01-20,0.00485,0.00001,0.01533,0.02222,0.03143,0.03849,0.05443,0.07698
2025-01-17,0.00484,0.00000,0.01530,0.02217,0.03136,0.03841,0.05432,0.07682
2025-01-16,0.00484,0.00000,0.01530,0.02218,0.03136,0.03841,0.05432,0.07682
2025-01-15,0.00484,-0.00002,0.01530,0.02217,0.03136,0.03841,0.05432,0.07682
2025-01-14,0.00486,0.00002,0.01536,0.02226,0.03148,0.03855,0.05452,0.07710
2025-01-13,0.00484,0.00000,0.01530,0.02218,0.03136,0.03841,0.05432,0.07682
2025-01-10,0.00484,-0.00002,0.01530,0.02217,0.03135,0.03839,0.05430,0.07679
2025-01-09,0.00486,-0.00003,0.01537,0.02227,0.03150,0.03858,0.05455,0.07715
2025-01-08,0.00489,0.00001,0.01545,0.02239,0.03166,0.03878,0.05484,0.07755
2025-01-07,0.00488,0.00007,0.01543,0.02236,0.03162,0.03872,0.05476,0.07745
2025-01-06,0.00481,0.00000,0.01522,0.02206,0.03120,0.03821,0.05403,0.07641
2025-01-03,0.00481,0.00000,0.01523,0.02206,0.03120,0.03821,0.05404,0.07643
2025-01-02,0.00481,0.00001,0.01522,0.02206,0.03120,0.03821,0.05404,0.07643
2024-12-31,0.00480,-0.00001,0.01518,0.02200,0.03111,0.03810,0.05388,0.07620
2024-12-30,0.00481,-0.00001,0.01521,0.02204,0.03117,0.03818,0.05399,0.07636
2024-12-27,0.00482,0.00002,0.01524,0.02209,0.03124,0.03826,0.05411,0.07652
2024-12-26,0.00480,0.00000,0.01519,0.02201,0.03113,0.03812,0.05391,0.07625
2024-12-24,0.00480,-0.00012,0.01517,0.02198,0.03109,0.03807,0.05384,0.07614
2024-12-23,0.00492,-0.00001,0.01555,0.02253,0.03187,0.03903,0.05519,0.07805
2024-12-20,0.00493,-0.00001,0.01558,0.02258,0.03193,0.03910,0.05530,0.07821
2024-12-19,0.00494,0.00001,0.01562,0.02263,0.03200,0.03919,0.05543,0.07839
2024-12-18,0.00493,-0.00003,0.01559,0.02259,0.03195,0.03913,0.05533,0.07825
2024-12-17,0.00496,0.00000,0.01567,0.02271,0.03212,0.03934,0.05563,0.07868
2024-12-16,0.00496,0.00000,0.01568,0.02272,0.03213,0.03935,0.05565,0.07871
2024-12-13,0.00496,-0.00002,0.01568,0.02272,0.03213,0.03935,0.05565,0.07871
2024-12-12,0.00498,0.00000,0.01573,0.02280,0.03225,0.03949,0.05585,0.07899
2024-12-11,0.00498,0.00000,0.01574,0.02280,0.03225,0.03950,0.05586,0.07900
2024-12-10,0.00498,-0.00001,0.01575,0.02282,0.03227,0.03953,0.05590,0.07906
2024-12-09,0.00499,0.00002,0.01577,0.02286,0.03233,0.03959,0.05599,0.07919
2024-12-06,0.00497,-0.00001,0.01571,0.02277,0.03220,0.03944,0.05578,0.07889
2024-12-05,0.00498,-0.00001,0.01576,0.02284,0.03230,0.03956,0.05595,0.07913
2024-12-04,0.00499,0.00001,0.01577,0.02285,0.03232,0.03958,0.05597,0.07916
2024-12-03,0.00498,0.00000,0.01574,0.02281,0.03225,0.03950,0.05586,0.07900
2024-12-02,0.00498,-0.00001,0.01575,0.02282,0.03227,0.03952,0.05589,0.07904
2024-11-29,0.00499,0.00000,0.01579,0.02288,0.03235,0.03962,0.05604,0.07925
2024-11-28,0.00499,-0.00001,0.01579,0.02288,0.03235,0.03962,0.05604,0.07925
2024-11-27,0.00500,0.00001,0.01580,0.02290,0.03238,0.03966,0.05608,0.07931
2024-11-26,0.00499,-0.00003,0.01579,0.02288,0.03235,0.03963,0.05604,0.07925
2024-11-25,0.00502,-0.00012,0.01586,0.02298,0.03250,0.03981,0.05630,0.07962
2024-11-22,0.00514,0.00000,0.01627,0.02357,0.03333,0.04083,0.05774,0.08165
2024-11-21,0.00514,0.00000,0.01626,0.02356,0.03332,0.04081,0.05772,0.08163
2024-11-20,0.00514,-0.00001,0.01626,0.02356,0.03332,0.04081,0.05771,0.08162
2024-11-19,0.00515,0.00000,0.01629,0.02360,0.03338,0.04088,0.05781,0.08175
2024-11-18,0.00515,0.00000,0.01628,0.02359,0.03336,0.04085,0.05778,0.08171
2024-11-15,0.00515,0.00000,0.01628,0.02359,0.03335,0.04085,0.05777,0.08170
2024-11-14,0.00515,-0.00011,0.01628,0.02359,0.03336,0.04086,0.05779,0.08172
2024-11-13,0.00526,-0.00005,0.01662,0.02409,0.03407,0.04173,0.05901,0.08345
2024-11-12,0.00531,-0.00007,0.01680,0.02435,0.03443,0.04217,0.05964,0.08434
2024-11-11,0.00538,0.00000,0.01700,0.02464,0.03484,0.04267,0.06034,0.08534
2024-11-08,0.00538,0.00001,0.01700,0.02464,0.03485,0.04268,0.06036,0.08536
2024-11-07,0.00537,0.00000,0.01697,0.02459,0.03477,0.04258,0.06022,0.08517
2024-11-06,0.00537,0.00005,0.01699,0.02462,0.03482,0.04264,0.06030,0.08528
2024-11-05,0.00532,0.00000,0.01681,0.02437,0.03446,0.04220,0.05969,0.08441
2024-11-04,0.00532,-0.00001,0.01684,0.02440,0.03450,0.04226,0.05976,0.08452
2024-11-01,0.00533,-0.00002,0.01686,0.02443,0.03455,0.04232,0.05985,0.08463
2024-10-31,0.00535,0.00000,0.01691,0.02451,0.03466,0.04245,0.06003,0.08490
2024-10-30,0.00535,0.00001,0.01691,0.02451,0.03466,0.04245,0.06003,0.08490
2024-10-29,0.00534,-0.00001,0.01689,0.02447,0.03461,0.04238,0.05994,0.08477
2024-10-28,0.00535,0.00000,0.01692,0.02451,0.03467,0.04246,0.06005,0.08492
2024-10-25,0.00535,0.00002,0.01691,0.02450,0.03465,0.04243,0.06001,0.08487
2024-10-24,0.00533,0.00000,0.01685,0.02442,0.03453,0.04229,0.05981,0.08458
2024-10-23,0.00533,-0.00004,0.01685,0.02441,0.03452,0.04228,0.05979,0.08456
2024-10-22,0.00537,0.00000,0.01697,0.02460,0.03478,0.04260,0.06025,0.08520
2024-10-21,0.00537,-0.00001,0.01697,0.02460,0.03479,0.04261,0.06025,0.08521
2024-10-18,0.00538,0.00000,0.01700,0.02464,0.03484,0.04267,0.06035,0.08535
2024-10-17,0.00538,0.00002,0.01700,0.02464,0.03484,0.04267,0.06034,0.08534
2024-10-16,0.00536,0.00000,0.01695,0.02457,0.03474,0.04255,0.06017,0.08510
2024-10-15,0.00536,0.00000,0.01696,0.02457,0.03475,0.04256,0.06020,0.08513
2024-10-14,0.00536,0.00001,0.01696,0.02458,0.03477,0.04258,0.06022,0.08516
2024-10-11,0.00535,-0.00003,0.01693,0.02454,0.03470,0.04250,0.06010,0.08500
2024-10-10,0.00538,0.00000,0.01701,0.02465,0.03486,0.04269,0.06038,0.08539
2024-10-08,0.00538,-0.00001,0.01702,0.02466,0.03487,0.04271,0.06040,0.08542
2024-10-07,0.00539,-0.00002,0.01703,0.02468,0.03491,0.04275,0.06046,0.08551
2024-10-04,0.00541,0.00007,0.01711,0.02480,0.03507,0.04295,0.06074,0.08590
2024-10-02,0.00534,0.00002,0.01688,0.02446,0.03459,0.04236,0.05991,0.08473
2024-09-30,0.00532,0.00000,0.01682,0.02438,0.03447,0.04222,0.05971,0.08444
2024-09-27,0.00532,0.00005,0.01683,0.02438,0.03448,0.04223,0.05973,0.08447
2024-09-26,0.00527,0.00000,0.01667,0.02416,0.03417,0.04185,0.05918,0.08370
2024-09-25,0.00527,0.00000,0.01668,0.02416,0.03417,0.04185,0.05919,0.08371
2024-09-24,0.00527,0.00000,0.01667,0.02416,0.03416,0.04184,0.05917,0.08369
2024-09-23,0.00527,0.00000,0.01667,0.02415,0.03416,0.04184,0.05916,0.08367
2024-09-20,0.00527,0.00001,0.01667,0.02416,0.03417,0.04185,0.05919,0.08370
2024-09-19,0.00526,0.00000,0.01662,0.02409,0.03407,0.04172,0.05901,0.08345
2024-09-13,0.00526,0.00005,0.01663,0.02410,0.03408,0.04173,0.05902,0.08347
2024-09-12,0.00521,-0.00004,0.01648,0.02388,0.03378,0.04137,0.05850,0.08273
