"STATION","NAME","DATE","PRCP"
"JA000047662","TOKYO, JA","2000-01-01",
"JA000047662","TOKYO, JA","2000-01-02",
"JA000047662","TOKYO, JA","2000-01-03",
"JA000047662","TOKYO, JA","2000-01-04",
"JA000047662","TOKYO, JA","2000-01-05",
"JA000047662","TOKYO, JA","2000-01-06",
"JA000047662","TOKYO, JA","2000-01-07",
"JA000047662","TOKYO, JA","2000-01-08",
"JA000047662","TOKYO, JA","2000-01-09",
"JA000047662","TOKYO, JA","2000-01-10","0.42"
"JA000047662","TOKYO, JA","2000-01-11",
"JA000047662","TOKYO, JA","2000-01-12",
"JA000047662","TOKYO, JA","2000-01-13","0.67"
"JA000047662","TOKYO, JA","2000-01-14",
"JA000047662","TOKYO, JA","2000-01-15","0.11"
"JA000047662","TOKYO, JA","2000-01-16",
"JA000047662","TOKYO, JA","2000-01-17","0.79"
"JA000047662","TOKYO, JA","2000-01-18",
"JA000047662","TOKYO, JA","2000-01-19",
"JA000047662","TOKYO, JA","2000-01-20",
"JA000047662","TOKYO, JA","2000-01-21",
"JA000047662","TOKYO, JA","2000-01-22",
"JA000047662","TOKYO, JA","2000-01-23","0.06"
"JA000047662","TOKYO, JA","2000-01-24",
"JA000047662","TOKYO, JA","2000-01-25","0.06"
"JA000047662","TOKYO, JA","2000-01-26",
"JA000047662","TOKYO, JA","2000-01-27",
"JA000047662","TOKYO, JA","2000-01-28",
"JA000047662","TOKYO, JA","2000-01-29",
"JA000047662","TOKYO, JA","2000-01-30",
"JA000047662","TOKYO, JA","2000-01-31",
"JA000047662","TOKYO, JA","2000-02-01",
"JA000047662","TOKYO, JA","2000-02-02",
"JA000047662","TOKYO, JA","2000-02-03",
"JA000047662","TOKYO, JA","2000-02-04",
"JA000047662","TOKYO, JA","2000-02-05",
"JA000047662","TOKYO, JA","2000-02-06",
"JA000047662","TOKYO, JA","2000-02-07",
"JA000047662","TOKYO, JA","2000-02-08",
"JA000047662","TOKYO, JA","2000-02-09",
"JA000047662","TOKYO, JA","2000-02-10",
"JA000047662","TOKYO, JA","2000-02-11",
"JA000047662","TOKYO, JA","2000-02-12",
"JA000047662","TOKYO, JA","2000-02-13",
"JA000047662","TOKYO, JA","2000-02-14",
"JA000047662","TOKYO, JA","2000-02-15",
